Study,m1i,sd1i,n1i,m2i,sd2i,n2i
Asbee,7.92,6.33,12,17.42,8.32,10
Barakat,8.4,4.14,9,9.7,1.2,3
Bogaerts,10.1,6.9,134,13.5,7.3,63
Byrne,10.8,5.1,25,11.8,5.9,25
Dekker_Nitert,7.87,4,19,8.28,6.1,16
Guelinckx,10.31,6.72,79,10.6,6.9,43
Harden,5.29,5.33,8,8.64,3.88,8
Harrison,5.9,3.5,45,5.2,2.6,36
Jefferies,9.5,5.17,25,8.2,3.02,21
Koivusalo,7.6,4.86,144,7.7,3.67,125
Kong,12.07,9.01,9,12.48,8.51,10
McCarthy,7.4,6.14,82,8.77,6.62,80
Nascimento,10.4,5.6,30,10.9,7.6,36
Ong,3.7,3.4,6,5.2,1.3,6
Petrella,6.7,4.3,18,10.1,5.6,18
Renault,10.66,7.39,255,11.53,6.36,134
Thornton,4.99,6.79,116,14.06,7.4,116
Vesco,5,4.1,55,8.4,4.7,57
Vinter,7.43,4.42,150,8.6,4.34,154
Wolff,6.6,5.5,23,13.3,7.5,27